objectid,title,inscription_EN,inscription_GR,object,building,date_avg,date_start,date_end,daterange_origin,city_origin,city_origin_pleiades,location_origin_idai,latitude,longitude,dates_other,location_current_country,location_current_city,location_current_collection,medium,url_medium_descr,category,subcategory,provenance,bibliographicCitation,url_digital_limc,url_princeton_vrc,url_museum_collection,url_other,figures,comment
char_001,Charis in Shahba mosaic with Aphrodite and Ares,Charis,ΧΑΡΙΣ,LIMC-12502 Mosaic with Aphrodite Charis Ares Euprepeia Skope,Villa with mosaics of Orpheus Thetis Dionysos Ariadne,375,350,400,0350/0400,Philippopolis (Shahba),https://pleiades.stoa.org/places/678332,https://gazetteer.dainst.org/place/2281532,32.853765,36.627525,,SY,Shahba,in situ / Musee des mosaiques,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Sartre-Fauriat/Sartre (2014) 507,http://ark.dasch.swiss/ark:/72163/080e-7454bc3d3a73b-c,-,,https://arachne.dainst.org/entity/5989692,"Euprepeia, Charis, Skope",
char_002,Charis in Villa at Byblos,Charis,ΧΑΡΙΣ,LIMC-24483 Mosaic from Villa at Byblos,Villa at Byblos,250,200,300,0200/300 [LIMC],Byblos,https://pleiades.stoa.org/places/668216,,34.1192487924,35.6461246598,1964,LB,Beirut,National Museum of Beirut,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Chehab (1975) Mosaiques inedites du Liban - LIMC,http://ark.dasch.swiss/ark:/72163/080e-74fe97b866b08-8,-,,,"Charis, Akme",
char_003,Charis in Madaba Hippolytus Hall,Charis,ΧΑΡΙΣ,LIMC-430 Charis Eros Aphrodite panel in Madaba Hippolytus Hall mosaic,Hippolytus Hall,525,500,550,0500/0550,Madaba,https://pleiades.stoa.org/places/697701,https://gazetteer.dainst.org/place/2043616,31.7173385,35.7945195,1972/1991,JO,Madaba,in situ,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Piccirillo (2008),http://ark.dasch.swiss/ark:/72163/080e-73a9bbf6f15de-0,-,,,"Charis, Eros, Agroikis",
char_004,Charis on Worcester Bracelet,Charis,ΧΑΡΙΣ,WAM-2001.87 Bracelet Charis,None,500,500,500,0500 ca.,Unknown – Eastern Mediterranean (?),-,https://gazetteer.dainst.org/place/2102028,,,,US,"Worcester, MA",Worcester Art Museum,jewelry (worn costume accessories),http://vocab.getty.edu/page/aat/300209286,object - wearable,object - wearable,,worcester.emuseum.com,,-,https://worcester.emuseum.com/objects/34876/bracelet ,,Charis,
char_005,Charis on Bracelet private coll,Charis,ΧΑΡΙΣ,priv-coll Bracelet Charis,None,500,500,500,0500 ca. [?],Unknown – Eastern Mediterranean (?),-,https://gazetteer.dainst.org/place/2102028,,,,,,unknown private collection,jewelry (worn costume accessories),http://vocab.getty.edu/page/aat/300209286,object - wearable,object - wearable,,From Attila to Charlemagne (2000) 64 [and end note 44],,-,,,Charis,two bracelets described together -- description corresponds to Charis bracelet in Worcester
char_006,Charis on Turbe Necklace,Charis,ΧΑΡΙΣ,Travnik Gold Necklace from Turbe-Varosluk-Crkvina,Tomb under basilica,445,390,500,0390/0500,Bersellum (Turbe),https://pleiades.stoa.org/places/197164,,44.244909,17.593458,1919 found,BA,Travnik,Travnik County Museum,jewelry (worn costume accessories),http://vocab.getty.edu/page/aat/300209286,object - wearable,object - wearable,,Maslać (1932) - Baraka Perica/Uglešić/Rašić (2019),,-,,None,Charis,
char_007,Charis on Zadar fibula,Charis,ΧΑΡΙΣ,Charis Fibula from Nin necropolis,None,550,500,600,0500/0600,Aenona (Nin),https://pleiades.stoa.org/places/197094,https://gazetteer.dainst.org/place/2053756,44.2435845,15.1847195,,HR,Zadar,Archaeological Museum,jewelry (worn costume accessories),http://vocab.getty.edu/page/aat/300209286,object - wearable,object - wearable,,Preložnik (2008),-,-,-,,Charis,fibula with Charis found in necropolis on the coast of Ždrijac near Nin
char_008,Charis on Benaki Roundel Kyra Charis,Charis,ΚΥΡΑ ΧΑΡΙΣ,Benaki-18298 Copper-alloy roundel Kyra Charis,None,500,300,700,0300/0700,Unknown – Eastern Mediterranean (?),-,https://gazetteer.dainst.org/place/2102028,,,,GR,Athens,Benaki Museum,jewelry (worn costume accessories),http://vocab.getty.edu/page/aat/300209286,object - wearable,object - wearable,,Drandaki 2005,,-,https://www.benaki.org/index.php?option=com_collectionitems&view=collectionitem&id=108259&Itemid=540&lang=en,,Charis,Copper-alloy roundel with the repousse bust of a woman and the inscription KYPA XAPIC (Lady Grace)
char_009,Charis on Benaki Roundel Charis Hygieia,Charis,ΧΑΡΙΣ ΥΓΙΑ,Benaki-18299 Copper-alloy roundel Charis Hygieia,None,500,300,700,0300/0700,Unknown – Eastern Mediterranean (?),-,https://gazetteer.dainst.org/place/2102028,,,,GR,Athens,Benaki Museum,jewelry (worn costume accessories),http://vocab.getty.edu/page/aat/300209286,object - wearable,object - wearable,,Drandaki 2005,,-,,None,Charis,
char_010,Charis in a Reliquary (?) in Munich,Charis,ΧΑΡΙΣ ΘΕΟΥ,Reliquary (?) with biblical scenes in Munich,None,450,400,500,0400/0500,Unknown – Egypt (?),-,https://gazetteer.dainst.org/place/2768126,27,30,,DE,Munich,Private collection,reliquary (?),,object - vessel,object,Egypt (?),Wamser-Zahlhaas 1998 cat. no. 17,,-,,,Charis,medallion with Charis Theou
