objectid,title,inscription_EN,inscription_GR,object,building,date_avg,date_start,date_end,daterange_origin,city_origin,city_origin_pleiades,location_origin_idai,latitude,longitude,dates_other,location_current_country,location_current_city,location_current_collection,medium,url_medium_descr,category,subcategory,provenance,bibliographicCitation,url_digital_limc,url_princeton_vrc,url_museum_collection,url_other,figures,comment
kt_char_anan,Ktisis/Charis/Ananeosis in Olympos Episkopeion,Ktisis/Charis/Ananeosis,ΚΤΙΣΙΣ ΧΑΡΙΣ ΑΝΑΝΕΩΣΙΣ,"Mosaic panel of a personification with three name labels (Ktisis, Charis and Ananeosis) at Olympos Episkopeion ",Episkopeion (Episcopal palace),505,500,510,0500/0510 [beginning 6th c],Olympos (in Lycia),-,https://gazetteer.dainst.org/place/2258872,36.403,30.471,,TR,Olympos (in Lycia),in situ ?,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - other or unknown,building - episcopal palace,,Oztaskin/Oztaskin (2019),,-,,https://www.academia.edu/40306927/Olympos_Episkopeionu_Peristyl_Mozaiklerindeki_%C4%B0nsan_Betimlemeleri_The_Human_Representations_on_the_Peristyle_Mosaic_of_the_Olympos_Episkopeion_,"Ktisis, Ananeosis, Charis",
ktis_001,Ktisis in Antioch Constantinian Villa,Ktisis,ΚΤΙΣΙΣ,A-II-p197ff 5524-M93 Seasons mosaic in Antioch Constantinian Villa Room 1,[DH-26-K/L] Constantinian Villa,325,325,325,0325 ca.,Antiochia (Antakya) – Daphne (Harbiye),https://pleiades.stoa.org/places/658450 ,-,36.1336355,36.1378635,1935 excavated – 1939 acquired by Louvre,FR,Paris,Louvre,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,-,A-II (1938) 197-200 - Levi (1947) – Stelkens (1963) 18-19 - Baratte (1978) 99-118 - Dunbabin (1999) 165-166 – LIMC,http://ark.dasch.swiss/ark:/72163/080e-7477b0bcdc1bc-c,https://vrc.princeton.edu/researchphotographs/s/antioch/item/11764,https://collections.louvre.fr/en/ark:/53355/cl010250192,https://www.bildindex.de/document/obj20857783,"Ktisis, Ananeosis, Euandria, Dynamis",
ktis_002,Ktisis in Antioch House of Ge and the Seasons,Ktisis,ΚΤΙΣΙΣ,A-II-p194 5139-M78 House of Ge and the Seasons Room 4,[DH 24-P] House of Ge and the Seasons,462.5,450,475,0450/0475,Antiochia (Antakya) – Daphne (Harbiye),https://pleiades.stoa.org/places/658450 ,-,36.1336355,36.1378635,1935,US,"Worcester, MA",Worcester Art Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,LIMC - EAA - Levi (1947) 55  346f,,https://vrc.princeton.edu/researchphotographs/s/antioch/item/13041,,,"Ktisis, Ge",
ktis_003,Ktisis at Antioch House of the Sea Goddess,Ktisis,Κ[ΤΙ]ΣΙ[Σ],A-III-p207f b684-M154 Personifications mosaic in Seleukeia (Antioch) House of the Sea Goddess coridor ,[S 18-C] House of the Sea Goddess,487.5,475,500,0475/0500,Antiochia (Antakya) – Seleukeia Pieria ,https://pleiades.stoa.org/places/658483,https://gazetteer.dainst.org/place/2347921,36.1212645,35.9285965,1938 excavated,US,"Princeton, NJ",Princeton University Art Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,"Gift of the Harvard University Art Museums, previously in Fogg Art Museum",A-III (1941) 207-208 - Levi (1947) 349-350 – Jones (1981) 18 – LIMC,http://ark.dasch.swiss/ark:/72163/080e-7481d39e8bc55-3,https://vrc.princeton.edu/researchphotographs/s/antioch/item/17419,https://artmuseum.princeton.edu/collections/objects/32228,,"Ktisis, Ananeosis, Euandria, Dynamis",
ktis_004,Ktisis in Antioch House of Ktisis,Ktisis,ΚΤΙΣΙΣ,A-II-p182 8750-M 43 House of Ktisis Room 1,[7-N] House of Ktisis (near hippodrome),512.5,500,525,0500/0525,Antiochia (Antakya),https://pleiades.stoa.org/places/658381,https://gazetteer.dainst.org/place/2283111,36.2225515,36.183214,1934 excavated,TR,Antakya,Hatay Archaeological Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,LIMC - Levi (1947) 357 - Campbell (1988) 5f,,https://vrc.princeton.edu/researchphotographs/s/antioch/item/10127,,,Ktisis,panel with tiger at Nasher at Duke
ktis_005,Ktisis in Amaseia mosaic,Ktisis,ΚΤΙΣΙΣ,EAD-cat192 Amaseia mosaic with Ktisis,public building,250,200,300,0200/0300 ca.,Amaseia (Amasya),https://pleiades.stoa.org/places/857018,https://gazetteer.dainst.org/place/2102314,40.66680835,35.82794385,2013,TR,Amasya,in situ ?,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - other or unknown,building,,Sondakika.com,,,,https://www.sondakika.com/haber/haber-kacak-kazi-roma-mozaiklerinin-ortaya-5235299/,"Ktisis, Pareboule",
ktis_006,Ktisis in a Mosaic from Apamea (?),Ktisis,ΚΤΙΣΙΣ,Mosaic panel with the foundation of Antioch,unknown,350,300,400,0300/0325 OR 0200/0400,Unknown – Apamea (attr.),https://pleiades.stoa.org/places/668335,-,35.4213771436,36.4024132802,2007 looted,-,unknown,unknown,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,looted ca. 2007,Olszewski/Saad (2017),,-,-,https://makedonia-alexandros.blogspot.com/2017/06/the-unique-mosaic-from-apamea.html,Ktisis,
ktis_007,Ktisis in Villa della Gara delle Nereidi,Ktisis,ΚΤΙΣΙΣ,LIMC-202280 Mosaic from Villa della Gara delle Nereidi,Villa della Gara delle Nereidi,512.5,500,525,0500/0525,Berytos (Beirut) – Ouzai/Awzai,https://pleiades.stoa.org/places/678060,https://gazetteer.dainst.org/place/2365437,33.8985935,35.511241,before 1995,LB,Beiteddine,Beiteddine Palace,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - other or unknown,building - unknown context ?,Porphyrion,LIMC,http://ark.dasch.swiss/ark:/72163/080e-76b23568f20a6-7 ,-,,,Ktisis,
ktis_008,Ktisis in Sanliurfa Villa of the Amazons,Ktisis,ΚΤΙΣΙΣ,Ktisis mosaic in Edessa/Sanliurfa Haleplibahce Villa of the Amazons,Haleplibahce - Villa of the Amazons,500,400,600,0400/0600,Edessa (Sanliurfa),https://pleiades.stoa.org/places/658457,,37.1625575,38.781432,2006/2007,TR,Sanliurfa,in situ / Sanliurfa Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Aydemir et. al. (2008) - Merola (2010),,-,,https://paulsmit.smugmug.com/Features/Asia/Turkey/Byzantine-mosaics-Urfa,Ktisis,
ktis_009,Ktisis in Eua Villa of Herodes Attius,Ktisis,ΚΤΙΣΙΣ,Mosaic of Ktisis at Eva/Loukou,Villa of Herodes Atticus at Eva/Loukou,127.5,117,138,0117/138,Eua (Eva/Loukou),-,https://gazetteer.dainst.org/place/2109854,37.416113,22.685477,,GR,Eva/Loukou,in situ,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Rathmayr/Scheibelreiter-Gail (2020),,-,,,"Ktisis, Apolausis",
