objectid,title,inscription_EN,inscription_GR,object,building,date_avg,date_start,date_end,daterange_origin,city_origin,city_origin_pleiades,location_origin_idai,latitude,longitude,dates_other,location_current_country,location_current_city,location_current_collection,medium,url_medium_descr,category,subcategory,provenance,bibliographicCitation,url_digital_limc,url_princeton_vrc,url_museum_collection,url_other,figures,comment
apol_001,Apolausis in Antioch Bath of Apolausis,Apolausis,ΑΠΟΛΑΥΣΙΣ,A-III-p183 b368-M144 Mosaic of Apolausis in Antioch Bath of Apolausis,Bath of Apolausis [Toprak-en-Narlidja],407.5,390,425,0390/0410 OR 0400/0425,Antiochia (Antakya) – Toprak-en-Narlidja/Narlıca,-,https://gazetteer.dainst.org/place/2230410,36.22817,36.19784,1937/1939,US,"Washington, DC",Dumbarton Oaks Research Library and Collection,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - bath,building - baths,,A-III (1941) 183 - Levi (1947) 304 - Haslam (1976) - Jones (1981) 24 - Cimok (2000) 236-237 - LIMC,http://ark.dasch.swiss/ark:/72163/080e-75f9535afad12-5,https://vrc.princeton.edu/researchphotographs/s/antioch/item/16765,http://museum.doaks.org/objects-1/info/30420 ,https://www.getty.edu/publications/romanmosaics/catalogue/excavations-antioch/,"Apolausis, Soteria",
apol_002,Apolausis in Bath at Hagios Taxiarchis,Apolausis,ΑΠΟΛΑΥΣΙΣ,Apolausis mosaic in Bath from Hagios Taxiarchis,Bath at Hagios Taxiarchis,507.5,500,515,0501/0515,Hagios Taxiarchis outside Argos,-,https://gazetteer.dainst.org/place/2070336,37.501006,22.423101,,GR,Argos,Archaeological Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - bath,building - baths,,Akerstrom-Hougen (1974) - Marcovich (1976) - (Haslam 1976) – LIMC,http://ark.dasch.swiss/ark:/72163/080e-75f95aacdb89c-1,-,-,https://www.bildindex.de/document/obj20371448,Apolausis,Google Maps site of Agios Taxiarches (Hagios Taxiarchis) very far from the city of Argos (https://maps.app.goo.gl/Eene7xntEwDGRNAT7)
apol_003,Apolausis at Boston Museum of Fine Arts,Apolausis,ΑΠΟΛΑΥ[ΣΙΣ],LIMC-10962 Mosaic with Apolausis and Ploutos (acc.nr. 2006.848),Unknown building with a floor mosaic with Tryphe Bios Ploutos Apolausis,475,350,600,0500/0600,Unknown – Emesa (Homs) (attr.) - Turkey or Syria,https://pleiades.stoa.org/places/668261,,34.7376565,36.719319,,US,"Boston, MA",Museum of Fine Arts,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - other or unknown,building - unknown context,Gift of George D. and Margo Behrakis,Kondoleon/Grossmann/Ledig (2008) 130,,-,https://collections.mfa.org/objects/474442/mosaic-with-personifications-of-pleasure-and-wealth?ctx=78d3a8c9-c143-476f-a7f2-f8dba525f9b3&idx=0,,"Ploutos, Apolausis",
apol_004,Apolausis in Eua Villa of Herodes Attius,Apolausis,ΑΠΟΛΑΥΣΙΣ,LIMC-201892 Mosaic of Apolausis at Eva/Loukou,Villa of Herodes Atticus at Eva/Loukou,127.5,117,138,0117/138,Eua (Eva/Loukou),-,https://gazetteer.dainst.org/place/2109854,37.416113,22.685477,,GR,Eva/Loukou,in situ,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Rathmayr/Scheibelreiter-Gail (2020),http://ark.dasch.swiss/ark:/72163/080e-76aab79cf516a-9,-,,,"Ktisis, Apolausis",
bios_001,Bios in Antioch House of the Peddler of Erotes,Bios,ΒΙΟΣ,A-II-p190 4782-M69 House of the Peddler of Erotes Room 2,[11-U] House of the Peddler of Erotes,273.5,235,312,0235/0312,Antiochia (Antakya),https://pleiades.stoa.org/places/658381,https://gazetteer.dainst.org/place/2283111,36.2225515,36.183214,1935 excavated,TR,Antakya,Hatay Archaeological Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa,,Levi (1947) 191-194 and pl.XLIII a-b – LIMC,,https://vrc.princeton.edu/researchphotographs/s/antioch/item/11296,,,"Bios, Eros",
bios_002,Bios in Antioch House of the Drunken Dionysus,Bios,ΒΙΟΣ,A-II-p193 4779-M66 House of the Drunken Dionysus Room 6,[15-R] House of the Drunken Dionysus,273.5,235,312,0235/0312* // 0300/0350,Antiochia (Antakya),https://pleiades.stoa.org/places/658381,https://gazetteer.dainst.org/place/2283111,36.2225515,36.183214,1935,TR,Antakya,Hatay Archaeological Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa - corridor,,Levi (1947) - LIMC,,https://vrc.princeton.edu/researchphotographs/s/antioch/item/11293,,,"Tryphe, Bios",panel with fishing Eros from portico at Nasher at Duke
bios_003,Bios in Olba mosaic,Bios,ΒΙΟΣ,Mosaic with Tryphe - Bios - Protolousia,Villa under monastery,220,190,250,0190/0250 [arkeofili.com] - probably later,"Olba (in Cilicia, Silifke district) ",https://pleiades.stoa.org/places/648725,https://gazetteer.dainst.org/place/2287758,36.58519,33.956685,,TR,"Olba (in Cilicia, Silifke district) ",in situ ?,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa ?,,Ertugrul (2015),-,-,-,https://arkeofili.com/mersindeki-olba-antik-kentinde-1800-yillik-mozaik-bulundu/,"Tryphe, Bios, Protolousia",
bios_004,Bios at Toronto Royal Ontario Museum,Bios,ΒΙΟΣ,LIMC-1611 Mosaic with Tryphe and Bios (Obj.nr. 967.132),Unknown building with a floor mosaic with Tryphe Bios Ploutos Apolausis,475,350,600,0350/0400,Unknown – Emesa (Homs) (attr.) - Turkey or Syria,https://pleiades.stoa.org/places/668261,,34.7376565,36.719319,,CA,Toronto,Royal Ontario Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - other or unknown,building - unknown context,,LIMC,,-,https://collections.rom.on.ca/objects/349113/wall-mosaic-with-allegorical-representation-of-life-and-easy,,"Tryphe, Bios",
plou_001,Ploutos in Seasons Mosaic at Suweida,Ploutos,ΠΛΟΥΤΟΣ,LIMC-9449 Seasons mosaic with Dionysos and Ariadne,Villa ?,250,250,250,0250 ca.,Philippopolis (Shahba),https://pleiades.stoa.org/places/678332,https://gazetteer.dainst.org/place/2281532,32.853765,36.627525,,SY,Suweida,Suweida Museum,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - villa,building - villa ?,,Sartre-Fauriat/Sartre (2014) 497,http://ark.dasch.swiss/ark:/72163/080e-7429720236917-b,-,-,,"Ploutos, Ge, Seasons",
plou_002,Ploutos at Boston Museum of Fine Arts,Ploutos,ΠΛΟΥΤΟΣ,LIMC-10962 Mosaic with Apolausis and Ploutos (acc.nr. 2006.848),Unknown building with a floor mosaic with Tryphe Bios Ploutos Apolausis,475,350,600,0500/0600,Unknown – Emesa (Homs) (attr.) - Turkey or Syria,https://pleiades.stoa.org/places/668261,,34.7376565,36.719319,,US,"Boston, MA",Museum of Fine Arts,mosaics (visual works),http://vocab.getty.edu/page/aat/300015342,building - other or unknown,building - unknown context,Gift of George D. and Margo Behrakis,Kondoleon/Grossmann/Ledig (2008) 130,,-,https://collections.mfa.org/objects/474442/mosaic-with-personifications-of-pleasure-and-wealth?ctx=78d3a8c9-c143-476f-a7f2-f8dba525f9b3&idx=0,,"Ploutos, Apolausis",
plou_003,Ploutos in Hestia Hanging,Ploutos,ΠΛΟΥΤΟΣ,DO-BZ.1929.1 Hanging with Hestia Polyolbos,none,550,500,600,0500/0600,Unknown – Egypt (?),-,https://gazetteer.dainst.org/place/2768126,27,30,,US,"Washington, DC",Dumbarton Oaks,textiles (visual works),http://vocab.getty.edu/page/aat/300014063,object - furnishing textile,building - decoration - furnishing textile,Dikran G. Kelekian New York and Paris - Robert Woods and Mildred Barnes Bliss Dumbarton Oaks purchase 1929 - Dumbarton Oaks Research Library and Collection Washington DC 1940,Schrenk (2019) - Friedländer (1945),-,-,https://www.doaks.org/resources/textiles/catalogue/BZ.1929.1,https://www.doaks.org/resources/textiles/essays/schrenk,"Ploutos, Euphrosyne, Arete, Eulogia, Euochia, Prokope, Phos",
